"","Df","SumOfSqs","R2","F","Pr(>F)"
"Sp",3,19.5998229355432,0.643225059502556,23.9624725352264,1e-04
"Sp:Plant",4,0.783446289470199,0.0257110631978042,0.718372951224866,0.8666
"Residual",37,10.0879051267771,0.33106387729964,NA,NA
"Total",44,30.4711743517905,1,NA,NA
